alert,baroaltitude,callsign,geoaltitude,heading,icao24,lastcontact,lastposupdate,lat,lon,onground,spi,squawk,time,velocity,vertrate,aircraft_model,wingspan_m,length_m,has_dimensions,is_grounded,is_stationary,is_likely_taxiing
False,350.52000000000004,KLY138,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815030,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,PNK140,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815040,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,VOR141,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815050,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,HXP144,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815060,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,LVR145,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815070,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,JUV148,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815080,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,350.52000000000004,RYS150,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815090,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,396.24,PNK153,396.24,269.62056329858103,acfa3d,1563815089.979,1563815089.197,33.440826416015625,-111.97776489257811,False,False,4317,1563815090,77.6827474382766,-3.90144,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,LVR156,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815100,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
False,358.14000000000004,VOR157,388.62,270.0,acfa3d,1563815099.177,1563815098.403,33.440826416015625,-111.98545532226562,False,False,4317,1563815100,77.681044,-3.90144,B737,35.78352,33.61944,True,False,False,False
False,350.52000000000004,PNK160,373.38,270.3951370425075,a7d2ae,1563814902.933,1563814900.849,33.42883611129502,-111.99546969666773,False,False,7771,1563815110,74.5961539237348,-4.55168,E75S,28.71216,31.668720000000004,True,False,False,False
