icao,runway,operation,timestamp,distance_to_tower_nm,altitude_agl_ft,ground_speed_knots,vertical_rate_fpm,heading_deg,wind_along_runway,wind_cross_runway,time_of_day,runway_alignment_error,aircraft_category,weather_tmpf,weather_relh,weather_drct,weather_sknt,runway_label,dt,active_runways,ac_cat_heavy_jet,ac_cat_light_prop,ac_cat_medium_jet,ac_cat_regional_jet,ac_cat_turboprop,ac_cat_unknown,op_landing,op_takeoff,heading_deg_missing,wind_along_runway_missing,wind_cross_runway_missing,runway_alignment_error_missing,vertical_rate_fpm_missing,weather_tmpf_missing,weather_relh_missing,weather_drct_missing,weather_sknt_missing,date
ad61de,8,landing,1764633606.24,0.4605343721040132,0.0,0.1,0.0,25.3,2.364032260820166,-1.846984425976975,0.0016666666666666668,52.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:06.240000010,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a1d44e,8,landing,1764633606.27,0.2781584027764722,0.0,0.0,0.0,90.0,2.364032260820166,-1.846984425976975,0.0016666666666666668,12.0,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:06.269999981,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a52e50,8,landing,1764633606.83,0.21605835510938748,0.0,0.0,0.0,90.0,2.364032260820166,-1.846984425976975,0.0016666666666666668,12.0,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:06.829999924,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
ad61de,8,landing,1764633607.23,0.46063010891688816,0.0,0.0,0.0,25.3,2.364032260820166,-1.846984425976975,0.0019444444444444444,52.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:07.230000019,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
ad61de,8,landing,1764633608.99,0.46077766562976036,0.0,0.0,0.0,25.3,2.364032260820166,-1.846984425976975,0.0022222222222222222,52.7,medium_jet,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:08.990000010,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a114f4,07R,landing,1764633609.11,0.26586907708118873,0.0,0.0,0.0,171.6,2.364032260820166,-1.846984425976975,0.0025,79.69999999999999,medium_jet,69.0,32.1,40.0,3.0,1,2025-12-02 00:00:09.109999895,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2025-12-02
aa1f97,26,landing,1764633609.13,0.35256661623803026,0.0,0.0,0.0,126.6,-2.3640322608201663,1.8469844259769745,0.0025,131.4,unknown,69.0,32.1,40.0,3.0,4,2025-12-02 00:00:09.130000114,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a0480b,07R,landing,1764633609.32,0.39278657540694156,0.0,0.0,0.0,239.1,2.364032260820166,-1.846984425976975,0.0025,161.1,medium_jet,69.0,32.1,40.0,3.0,1,2025-12-02 00:00:09.319999933,"[0, 1, 1, 0, 1, 1]",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
aa88d2,8,landing,1764633609.6,3.4814264228456078,1418.8362496382972,225.4,5.232536195997649,86.7,2.364032260820166,-1.846984425976975,0.0025,8.700000000000003,unknown,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:09.599999905,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
a33716,8,landing,1764633609.7,0.29861928766354184,0.0,0.0,0.0,0.0,2.364032260820166,-1.846984425976975,0.0025,78.0,unknown,69.0,32.1,40.0,3.0,5,2025-12-02 00:00:09.700000048,"[0, 1, 1, 0, 1, 1]",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025-12-02
